,a0,a2,a3,a4,b1.b11.,b1.b12.,b1.b13.,b1.b14.,b1.b15.,b1.b16.,b1.other.,b2,b6,b71.b711.,b71.b712.,b72.b721.,b72.b722.,b72.b723.,b72.b724.,b72.b725.,b73.b731.,b73.b732.,b73.b733.,b73.b734.,b73.b735.,b74.b741.,b74.b742.,b8,b9,c1,c2,c3,c4,c5,c6,c9.c31.,c9.c32.,c9.c33.,c9.c34.,c9.c35.,c9.c36.,c9.c37.,c9.c38.,c9.c39.,c9.c40.,c9.other.,d4,e1,e2,e3,e4,e6.e41.,e6.e42.,e6.e43.,e6.e44.,e6.e45.,e6.e46.,e6.e47.,e6.e48.,e6.e49.,e6.e4101.,e6.e4102.,e6.other.,e7,e8,e8.other.,e9.e71.,e9.e72.,e9.e73.,e9.e74.,e9.e75.,e9.e76.,e9.e77.,e9.e78.,e9.other.,f1.f11.,f1.f12.,f1.f13.,f1.f14.,f1.f15.,f1.f16.,f1.f17.,g1,g1.other.,g2,h1,h2,h3,h4,h5,h6,h7,i1,i2,i3,i4,i5,i6,j11.SQ001.,j11.SQ005.,j11.SQ006.,j11.SQ007.,j11.SQ008.,j2,k1.k12.,k1.k13.,k1.k14.,k1.k15.,k1.k16.,k1.other.,k2.k21.,k2.k22.,k2.k23.,k2.k24.,k2.k25.,k6,k7,k8,l2,m1,m2,m3,m4,m5,m6,m7,m71,m8,m9,m10,accesibilidad,utilidad,fiabilidad,soporte_tecnico,alfabetizacion
10,Sí,33,La Paz,El Alto,Sí,No,Sí,No,No,No,,5,Cosmos y Pensamiento,,,,,,,,,,,,,Sí,No,Sí,Unesco,Sí,Computadora portátil,1.0,No,,Dotada por el ministerio,Sí,No,No,No,No,No,Sí,Sí,No,Sí,,No,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,,Internet móvil,Casa,,Sí,No,No,No,No,No,No,No,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Windows,,Sí,No,Sí,Sí,Sí,Uso de programas,Sí,No,No,No,Sí,En este año,Sí,No,Rara vez,Rara vez,Ocasionalmente,Ocasionalmente,Ocasionalmente,Sí,Sí,Sí,No,No,No,,Sí,Sí,Sí,No,No,Rara vez,Rara vez,Nunca,Sí,excelente,"Que son muy dinamicos, te brindan materiales y asesoria ",mas o menos,-0-,Sí,Por que los estudiantes lo dominan mejor en las herramientas,buena,Por que nos orienta acerca de los programas e implementa materiales en el aula,Sí,Por que es muy interesante para fuuros estudiantes,No,0.556,0.419,1.0,1.0,0.929
11,Sí,55,La Paz,El Alto,No,No,Sí,No,No,No,,30,Comunidad y Sociedad,,,,,,,,Sí,No,No,No,No,,,Sí,Free - Mind - Inkscape,Sí,Computadora de escritorio,2.0,No,,Dotada por el ministerio,Sí,No,No,No,No,No,Sí,Sí,No,No,,No,Sí,Sí,Sí,Sí,No,Sí,No,No,Sí,No,No,Sí,No,No,No,,Internet móvil,Casa,,Sí,Sí,No,No,Sí,No,No,No,,Dudoso,Dudoso,Dudoso,Dudoso,Dudoso,Dudoso,Sí,Windows,,No,No,No,No,Sí,"Free - mind, inkacape",No,No,Sí,Sí,No,,Sí,No,Rara vez,Ocasionalmente,Siempre,Ocasionalmente,Ocasionalmente,Sí,No,Sí,No,Sí,No,,Sí,Sí,Sí,No,No,Nunca,Nunca,Nunca,Sí,buena,"Estos cursos, ayudan en la capacitación,en la formación como docente.",mucho,Facilitaría el proceso de aprendizaje con los estudiantes. ,No,Todavía por factor de tiempo aun no implemente en el aula.,buena,Me brindaron toda la ayuda posible.,Sí,Por que los estudiantes tomarían mas interés en el aula con el manejo del TIC.,"Los proyectos en la unidad, deberían ser al planificadas al principio de la gestión, para así poder implementarlo en aula y poder visualizar las dificultades que tenemos. ",0.778,0.317,1.0,0.8,0.286
12,Sí,38,La Paz,El Alto,Sí,No,No,No,No,No,,10,Comunidad y Sociedad,,,,,,,,No,No,Sí,No,No,,,Sí,"Word, execel, sozi,freemind,inkscape",Sí,Computadora portátil,1.0,No,,Dotada por el ministerio,No,No,Sí,No,No,No,Sí,Sí,No,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,No,Sí,Sí,,Internet móvil,Casa,,No,Sí,No,No,Sí,No,No,No,,Sí,Sí,Sí,Dudoso,Dudoso,Sí,Sí,Windows,,Sí,Sí,Sí,No,No,,,,No,No,Sí,En este año,Sí,Sí,Ocasionalmente,Casi siempre,Rara vez,Ocasionalmente,Ocasionalmente,Sí,Sí,Sí,Sí,No,No,,Sí,Sí,No,No,No,Ocasionalmente,Ocasionalmente,Ocasionalmente,Sí,excelente,Por que los estudiantes  se motivaron en las clases en proceso de enseñar las lecciones,mucho,Es importante para  desarrollar las actividades para nuestras clases y nos ayuda en  nuestra labor como docentes,Sí,Por que los estudiantes se desenvuelven mejor y puden mostrar su creatividad ,buena,Nos facilitaron las clases capacitandonos con programas gratuitos que nos ayuda a crear nuestra clase,Sí,Con mas practica podemos habituarnos  al uso de la tecnologia en las clases,Planificar bien  un horario solicitado al director para poder aprender mejor,0.667,0.617,1.0,1.0,0.786
13,Sí,59,Oruro,Oruro,Sí,No,Sí,No,No,No,,25,Comunidad y Sociedad,,,,,,,,No,No,Sí,No,No,,,No,,Sí,Computadora portátil,2.0,No,,Dotada por el ministerio,Sí,No,Sí,No,No,No,No,No,No,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,No,No,No,No,,Internet móvil,Casa,,Sí,No,Sí,No,Sí,No,No,No,,Sí,Dudoso,No,No,No,Sí,Dudoso,Windows,,Sí,Sí,Sí,Sí,No,,,,Sí,Sí,Sí,En este año,Sí,Sí,Rara vez,Siempre,Nunca,Ocasionalmente,Rara vez,Sí,Sí,Sí,No,Sí,No,,No,Sí,Sí,No,No,Rara vez,Casi siempre,Casi siempre,Sí,buena,,mucho,"Es lindo utilizar esas herramientas peor tiene sus desventajas hace que las señoritas sean superficiales, se podría decir que se necesita herramientas donde se pueda ver la verdadera realidad para mejorar, potenciar los conocimientos. ",Sí,,buena,"Porque nos dieron nuevas herramientas quizás que no tengan costo para nosotros y no nos puedan apropiarnos, además que son bastante accesibles y nunca dijeron no. ",No,,"La recomendación es no descuidar los aprendizajes significativos, deben ser manuales, articular la ciencia con la tecnología con las realidad nacionales. ",0.889,0.408,0.5,0.8,0.571
14,Sí,68,La Paz,El Alto,Sí,No,No,No,No,No,,25,Comunidad y Sociedad,,,,,,,,No,No,No,No,Sí,,,Sí,"capacitacion de manejo de kuass,word,execel,talleres,paquetes de musica, edicion de videos y musica",Sí,Computadora de escritorio,3.0,Sí,1.0,Por cuenta propia,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,,Internet móvil,Casa,,No,Sí,Sí,Sí,Sí,Sí,No,No,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Windows,,Sí,Sí,Sí,Sí,Sí,"encore, culeedit,musescore",Sí,No,No,No,Sí,En este año,Sí,Sí,Casi siempre,Siempre,Siempre,Ocasionalmente,Ocasionalmente,Sí,No,Sí,No,No,No,,Sí,Sí,No,No,No,Ocasionalmente,Ocasionalmente,Ocasionalmente,Sí,buena,Por la facilidad de herramientas y dominio de conocimientos totales,mucho,Por que el proceso de enseñanza debe ser adaptado para cada área y  con sus respectiva materia ,Sí,"Permite la creación de su desarrollo creativo en el arte de la música, y gracias a la cual se integran las demás áreas",buena,he podido desarrollar nuestros conocimientos tecnológicos del aprendizaje atravez  del uso de las kuass,Sí,Por que la tecnología va avanzado y se requiere una actualización permanente,"atraves del ministerio de educación se implementen programas tecnológicos adaptables diferenciados áreas todos digital-izados e integrales, y que empiece en una fecha mas libre. ",0.667,0.795,1.0,0.8,1.0
15,Sí,29,La Paz,La Paz,No,Sí,No,No,No,No,,7,"Ciencia, Tecnología y Producción",No,Sí,,,,,,,,,,,,,Sí,Tic en la educación informática y herramientas digitales,Sí,Computadora portátil,3.0,Sí,2.0,Por cuenta propia,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Desarrollo de software,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,,Internet móvil,Colegio,,No,Sí,Sí,Sí,Sí,Sí,No,No,"Classroom, documentos en linea",Sí,Sí,Sí,Sí,Sí,Sí,Sí,Windows,,Sí,Sí,Sí,Sí,Sí,Plataformas de envío y recepción de trabajos en línea ,Sí,No,Sí,Sí,Sí,En este año,No,Sí,Casi siempre,Casi siempre,Ocasionalmente,Ocasionalmente,Casi siempre,Sí,Sí,Sí,Sí,Sí,No,,Sí,Sí,Sí,No,No,Casi siempre,Casi siempre,Casi siempre,Sí,regular,Falto mucho tiempo para el entendimiento formulado para el uso de software libre con los estudiantes. Y además de personal docente con experiencia para desarrollar los temas. ,mucho,A mas uso de tecnología el trabajo del estudiante solo llevará a el entendimiento razo a le y deductivo y no así como practico como repetición para el estudiantado. ,Sí,E istieron nuevas tecnologias basadas en que no es necesario una un programa con licencia para poder desarrollar su creatividad y entendimiento. Ya que existen miles de formas como el software libre para desarrollarlo. ,regular,Por el tiempo brindado en el aula con los estudiantes. ,Sí,Como una actualización tecnológica para el estudiantado. ,No sólo personal voluntario sino personal con experiencia en aula para el desarrollo de sus  lases con los estudiantes. ,0.889,0.863,1.0,0.5,1.0
16,Sí,39,La Paz,El Alto,Sí,No,No,Sí,Sí,No,,8,Comunidad y Sociedad,,,,,,,,No,No,Sí,No,No,,,Sí,Manejo de kuass inkscape y sozi,Sí,Computadora de escritorio,1.0,Sí,1.0,Por cuenta propia,Sí,No,Sí,No,Sí,No,Sí,No,No,Sí,,Sí,Sí,Sí,No,Sí,No,Sí,Sí,No,Sí,No,No,No,No,Sí,Sí,,Internet fijo,Casa,,No,Sí,No,No,No,No,No,No,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Windows,,Sí,Sí,Sí,Sí,Sí,Educacion a distancia,Sí,No,No,No,Sí,Hace dos años,No,No,Siempre,Casi siempre,Casi siempre,Ocasionalmente,Ocasionalmente,Sí,Sí,Sí,Sí,Sí,No,,Sí,No,Sí,No,No,Casi siempre,Casi siempre,Rara vez,Sí,buena,Me ayudo en la el manejo de nuevas aplicaciones que puedan ser utiles en el desarrollo de clases,mucho,Por que la educacion necesita incorporar las nuevas tecnologias informaticas,Sí,Se nota mas atencion y genera mas espectativas en su aprendizajes,excelente,Diempre estuvieron predispuesto a generar espacios educativos en el mejoramiento de los metodos de enseñanza,Sí,Es fundamental incorporar metodologias que tengan q ver con las tecnologias,Quizas incorporar y hacer seguimiento desde las aulas para mejorar la enseñanza educativa,0.556,0.621,1.0,0.8,1.0
17,Sí,55,La Paz,La Paz,Sí,No,No,No,No,No,,5,"Vida, Tierra y Territorio",,,Sí,No,No,No,No,,,,,,,,No,,Sí,Computadora portátil,1.0,Sí,2.0,Dotada por el ministerio,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,,Sí,No,Sí,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,,Internet móvil,Café Internet,,No,Sí,No,Sí,No,No,No,No,,Sí,Sí,Dudoso,Dudoso,Sí,Sí,Sí,Windows,,Sí,No,Sí,No,No,,,,Sí,Sí,No,,Sí,No,Rara vez,Ocasionalmente,Ocasionalmente,Casi siempre,Ocasionalmente,Sí,No,Sí,No,No,No,,No,Sí,No,No,No,Ocasionalmente,Ocasionalmente,Rara vez,No,excelente,,mas o menos,,Sí,,regular,,No,,,0.667,0.714,0.5,1.0,0.571
18,Sí,42,La Paz,El Alto,Sí,No,Sí,No,Sí,No,,11,"Ciencia, Tecnología y Producción",Sí,No,,,,,,,,,,,,,Sí,DIPLOMADO EN  INFORMATICA EDUCATIVA,Sí,Computadora portátil,1.0,Sí,1.0,Dotada por el ministerio,Sí,No,Sí,No,No,No,Sí,No,No,Sí,,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,No,,Internet móvil,Otro,acceso con telefonia movil,Sí,Sí,Sí,No,Sí,No,No,No,,Sí,Sí,Sí,Dudoso,Dudoso,Sí,Sí,Windows,,Sí,Sí,No,No,No,,,,Sí,Sí,No,,No,No,Nunca,Ocasionalmente,Nunca,Nunca,Nunca,Sí,No,No,No,Sí,Sí,,Sí,Sí,No,No,No,Nunca,Nunca,Nunca,No,regular,"No existió un apoyo concreto de parte de la dirección de la Unidad Educativa para concretar al 100% este proyecto
",mucho,"Porquese necesita eliminar el analfabetismo digital en el area educativa, las tendencias educativas  se basan en este tipo de aprendizaje",Sí,nos permiten a los maestros mostrar aspecto dificiles de hacer  comprender y entender a los estudiantes,buena,Muestran  interés en realizar este  proyecto,Sí,"porque nos permitirán  aplicar otras herramientas que podrían ser útiles en   el dearrollo de nuestras clases
",,0.778,0.338,1.0,0.5,0.643
19,Sí,30,La Paz,El Alto,No,No,Sí,No,No,No,,11,"Ciencia, Tecnología y Producción",Sí,No,,,,,,,,,,,,,Sí,manejo de Kuuas,Sí,Computadora de escritorio,2.0,No,,Por cuenta propia,Sí,Sí,Sí,No,Sí,No,Sí,Sí,No,No,Programacion,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,,Internet fijo,Casa,,Sí,Sí,Sí,Sí,Sí,No,No,No,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Windows,,Sí,Sí,Sí,Sí,Sí,Aula -taller,Sí,No,Sí,No,Sí,En este año,Sí,No,Siempre,Casi siempre,Ocasionalmente,Ocasionalmente,Ocasionalmente,Sí,Sí,No,No,No,No,,Sí,Sí,Sí,No,No,Casi siempre,Casi siempre,Casi siempre,Sí,buena,Porque fue personalizada durante el desarrollo de la capacitacion.,mucho,Porque la universalizacion del conocimiento esta vigente.,No,"Porque por el momento los estudiantes manejan sistemas operativos con licencia, ejemplo -windows.",buena,porque la capacitacion fue personalizada.,Sí,Lo necesario seria que cada estudiante posea su computadora y de esa forma promover mayor interaccion con la tecnologia.,Que la capacitacion se la realice durante todo el año.,0.556,0.626,1.0,0.8,1.0
