NUMBOL,Tipo,P1,P2,P3,P1A,P1B,P1C,P1D,P1E,P2A,P2B,P2C,P2D,P2E,P3A,P4A,P4,P5,P6,P7A,P7B,P8,P9,P10,P11A,P11B,P11C,P11F,P11G,P11D,P12,P13A,P13B,P14,P15A,P15B,P15C,P15E,P15D,P16,P17,P18,P19,P20,P21A,P21B,P22,P23,P24,P25,P26,P27A,P27B,P27C,P27E,P27F,P27G,P27D,P28,P29A,P29B,P30,P31A,P31B,P31C,P31D,P31E,P31G,P31H,P31F,P32,P33,P34,P35,P36A,P36B,P37,P38,P39A,P39B,P40,P41A,P41B,P41C,P41D,P41E,P41G,P41H,P41I,P41J,P41F,P42A,P42B,P42C,P42E,P42F,P42D,P43,P44A,P44B,P44C,P44D,P44E,P44F,P44G,P44J,P44H,P44I,P44K,P44L,P44M,P44N,P44O,P44P,P44Q,P44R,P44S,P44T,P44U,P44V,P44W,P44X,P45A,P45B,P45C,P45D,P45E,P45F,P45G,P45H,P45I,P45J,P45K,P45L,P45M,P45N,P45O,P45P,P45Q,P45R,P45S,P45T,P45U,P45V,P45W,P45X,P46A,P46B,P46C,P46E,P46F,P46G,P46H,P46I,P46D,P47A,P47B,P47C,P47D,P47E,P47G,P47H,P47I,P47F,P48A,P48B,P48C,P49A,P49B,P49C,P50,P51,P52,P53,P54,P55A,P55B,P56,P57,P58A,P58B,P59A,P59B,P60A,P60B,P61A,P60C,P62A,P62B,P63A,P63B,P64A,P64B,P64C,P64D,P64E,P65,P66,P67A1,P67A2,P67B1,P67B2,P67C1,P67C2,P68,P69,P70,P71,P72A,P72B,P72C,P72E,P72F,P72D,P73,P74A,P74B,P75,P76,P77,P78A,P78B,P78C,P78D,P79,P80A,P80B,P80C,P80D,P81A,P81B,P81C,P81D,P82A,P82B,P82C,P82D,P83A,P83B,P83C,P83D,P84,P85A,P85B,P85C,P85D,P86A,P87,P88A,P88B,P88C,P88D,P89A,P89B,P89C,P89D,P90A,P90B,P90C,P90D,P91A,P91B,P91C,P91D,P92,P93A,P93B,P93C,P93D,P94,P95,P96,P97,P98A,P98B,P98C,P98E,P98D,P99,P100A,P100B,P100C,P100D,P100E,P100G,P100H,P100I,P100F,P101A,P101B,P101C,P101D,P101E,P102,P103A,P103B,P103C,P103D,P103E,P103F,P103G,P103H,P103I,P103J,P103K,P103L,P103M,P103N,P103O,P103P,P103Q,P104A,P104B,P104C,P104D,P104E,P104F,P104G,P104H,P104I,P104J,P104K,P104L,P104M,P104N,P104O,P104P,P104Q,P105,P106A,P106B,P106C,P106D,P107A,P107B,P107C,P107D,P107E,P108,P109,P110,P111,P11E,P112,P113,P114A,P114B,P115A,P115B,P115C,P115D,P116,P117,P118A,P118B,P118C,P118D,P118E,P118G,P118H,P118I,P118F,P119,P120,P121A,P121B,P121C,P121E,P121F,P121G,P121D,P122,P123,P124A,P124B,P124C,P124D,P124E,P125,P126,P127,P128A,P128B,P128C,P128D,P129A,P129B,P129C,P130A,P130B,P130C,P131A,P131B,P131C,P132A,P132B,P132C,P133A,P133B,P133C,P134,P135,P136,P137,P138,P139,P140,P140A,P140B,P140C,P140D,P141,P142,P143,P144,P145,P146A,P146B,P146C,P147,P148,P149,P150,P151,P151A,P151B,P152,P153,P154A,P154B,P155,P156A,P156B,P156C,P156D,P156E,P156F,P156G,P156H,P156I,P156J,P156K,P157,P158,P159,P160,CodP160,Ponderador5536,Ponderador5033,Nse
1028,1,17,1,1,,,,,,,,,,,,,1,44,1,,5,1,5500,1,4,,,,,,1,6,,6000,4,,,,,1,2,180,3,1,,9,200,1,199,2,3,8,9,10,,,,,1,,3,1700,1,3,6,,,,,,1,1,50,3,1,,1,50,110,2,3,8,9,10,,,,,,,,5,6,8,,,,3,14,15,16,17,18,19,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,8,9,10,,,,,,,5,9,,,,,,,,Ns/Nr,,,YOUTUBE,FACEBOOK,WIKIPEDIA,1,1,2,2,2,1,,2,3,2,,2,,2,,2,,2,,2,,7,4,5,6,,SEGIP,2,,,,,,,1,2,,2,4,6,,,,,1,4,,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,6,,,,,,,2,7,1,4,,3,14,15,16,17,18,19,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,2,,,,,1,3,2,,,3,1,2,3,,1,1,,3,1,2,,,1,2,,,,,,,,,,,2,,,,,,,,1,4,4,1,4,4,4,2,,1,2,3,,,1,,,6,,,5,,,1,,,3,,,5,1,9,1,1,1,6,1,1,1,2,2,,9,11,2,,,,1,1,2,1,1,,,6,3,2,,2,1,1,1,1,1,1,2,2,2,2,2,4,3,1,Cochabamba,17,"1,16742277433498","1,79608708645441",3
1029,1,24,1,1,,,,,,,,,,,,,1,140,1,,1,1,3000,7,1,3,5,,,,1,,1,1400,6,,,,,2,2,,,2,,,,1,200,4,3,1,2,8,,,,,1,,3,1200,1,3,6,,,,,,1,3,20,4,1,,1,100,1800,3,4,1,10,,,,,,,,,11,,,,,,7,10,11,12,13,14,15,16,17,18,19,,,,,,,,,,,,,,,9,10,11,12,13,14,15,16,17,18,19,20,,,,,,,,,,,,,1,4,8,,,,,,,5,9,12,,,,,,,INE,,,Ns/Nr,,,1,2,2,2,2,1,,3,2,2,,2,,2,,2,,2,,2,,2,5,7,,,INE SEGIP,2,,,,,,,2,2,,1,3,5,6,,,,1,2,,2,2,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,6,,,,,,,1,5,7,8,,7,11,12,13,14,15,16,17,18,,,,,,,,,,10,11,12,13,14,15,16,17,18,19,,,,,,,,2,,,,,8,,,,,3,2,2,4,,2,1,,3,1,,,,1,1,1,2,4,11,,,,,,3,2,,,,,,,,1,3,3,2,4,5,4,1,98,2,,,,,2,,,5,,,6,,,6,,,3,,,7,7,2,3,3,4,6,1,1,1,1,1,2,9,12,1,1,,,1,2,4,1,1,,,6,8,1,,3,1,1,1,1,2,1,2,1,3,2,2,6,3,1,Cochabamba,17,"1,16742277433498","1,79608708645441",4
1030,1,19,1,1,,,,,,,,,,,,,1,25,1,,2,2,3500,8,1,4,5,,,,1,,1,3000,1,4,,,,1,2,145,4,1,,3,99,1,220,4,4,2,7,10,,,,,1,,2,2100,1,3,5,6,7,,,,1,1,100,4,1,,1,50,60,1,4,2,9,10,,,,,,,,3,5,8,,,,7,6,13,17,21,,,,,,,,,,,,,,,,,,,,,10,12,17,22,,,,,,,,,,,,,,,,,,,,,1,4,9,,,,,,,5,12,,,,,,,,TELEPAIS,PAT,BOLIVICION,MTV,WB,TELEHIT,2,2,2,2,2,1,,3,3,2,,2,,2,,2,,2,,2,,7,4,5,8,,TRAMITES,2,,,,,,,2,2,,2,3,6,,,,,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,5,7,8,9,,,,1,5,6,9,,7,6,13,17,20,,,,,,,,,,,,,,8,12,17,22,,,,,,,,,,,,,,1,3,,,,4,7,1,,,3,2,2,3,,2,1,,3,1,,,,1,1,4,6,8,,,,,,,9,1,2,3,,,,,,1,4,4,4,3,4,3,1,10,2,,,,,1,3,6,5,7,4,5,6,3,6,7,1,9,,,5,1,5,5,3,5,6,1,1,1,1,1,1,9,11,1,1,4,,2,2,6,1,1,,,6,8,1,,6,1,1,1,1,1,1,1,1,1,1,2,4,3,1,Cochabamba,17,"1,16742277433498","1,79608708645441",5
1031,1,30,1,1,,,,,,,,,,,,,1,24,1,,3,2,4800,5,4,,,,,,1,,7,2500,1,2,4,,,2,2,,,1,,1,200,1,199,4,4,1,2,7,,,,,1,,4,1200,1,6,7,,,,,,1,2,20,4,1,,2,,,,,,,,,,,,,,,7,8,,,,,6,14,15,16,17,18,19,20,21,22,,,,,,,,,,,,,,,,19,20,21,22,23,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,1,5,,,,,,,,LOS TIEMPOS,TELEPAIS,RED UNO,YOUTUBE,FACEBOOK,GOOGLE,1,1,2,1,1,4,,2,2,2,,2,,2,,2,,2,,2,,7,9,2,5,,SACAR NIT,2,,,,,,,1,2,,1,5,,,,,,1,4,,2,2,1,,,,,1,1,,,,7,,,,7,,,,2,,,,100,3,,,,1,1,1,,,,5,,,,1,,,,1,,,,100,1,,,,2,2,2,2,,,,,,1,1,,,,,,,,,1,10,7,11,,5,14,15,16,17,18,19,20,21,,,,,,,,,,19,20,21,22,23,,,,,,,,,,,,,2,,,,,1,3,2,,,4,1,2,1,,1,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,1,4,4,4,2,2,2,2,,2,,,,,1,,,1,,,5,,,6,,,7,,,1,1,1,1,1,1,6,1,1,1,2,2,,17,17,2,,,,1,1,7,1,1,,,4,2,2,,3,1,1,1,1,1,1,2,1,2,2,2,6,3,1,Cochabamba,17,"1,16742277433498","1,79608708645441",4
1032,1,50,1,1,,,,,,,,,,,,,1,30,1,,5,1,5000,5,4,5,,,,,1,,6,2100,4,,,,,1,2,180,3,1,,9,200,1,199,2,3,2,4,,,,,,1,,5,900,1,3,7,,,,,,1,1,40,4,1,,2,,,,,,,,,,,,,,,8,,,,,,5,11,12,13,14,15,,,,,,,,,,,,,,,,,,,,17,18,19,20,21,22,23,,,,,,,,,,,,,,,,,,2,4,10,,,,,,,5,6,7,9,,,,,,PAT,,,AZTECA,,,1,1,2,2,2,3,,3,2,2,,2,,2,,2,,2,,2,,7,11,4,3,,INFORMACION PRECISA,2,,,,,,,2,2,,1,1,,,,,,1,4,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,5,,,,,,,11,7,4,1,,5,9,14,20,22,,,,,,,,,,,,,,10,12,20,23,,,,,,,,,,,,,,1,6,,,Social,2,1,4,,,4,2,2,3,,1,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,2,4,1,1,3,1,99,2,,,,,1,,,1,,,5,,,5,,,9,,,6,1,4,4,7,7,7,1,2,2,2,2,,20,38,1,4,,,2,1,3,2,1,,,3,7,1,,1,1,1,1,1,1,1,2,2,3,1,2,6,3,1,Cochabamba,17,"1,16742277433498","1,79608708645441",4
1033,1,42,1,1,,,,,,,,,,,,,1,99,2,,,,,7,1,4,,,,,1,99,,9,1,2,3,,,1,2,99,3,1,99,,99,3,,,,,,,,,,,1,99,,99,1,2,3,6,,,,,1,3,40,4,1,,1,40,55,1,4,1,2,10,,,,,,,,11,,,,,,4,8,9,10,11,12,,,,,,,,,,,,,,,,,,,,8,9,10,16,17,18,19,20,21,22,,,,,,,,,,,,,,,1,2,6,,,,,,,1,2,4,,,,,,,NO VISITA,,,FACEBOOK,YOUTUBE,,1,2,9,2,1,1,,4,3,2,,2,,2,,2,,2,,2,,1,9,8,,,PAGO IMPUESTOS Y SERVICIO,2,,,,,,,3,2,,2,1,,,,,,1,4,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,,,,,,,,,1,4,3,,,4,10,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,2,,,,,2,1,7,,,2,2,2,2,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,3,2,4,4,9,2,,2,,,,,2,4,6,7,6,1,2,4,6,5,4,2,1,6,7,3,5,2,5,3,5,5,2,2,2,2,2,,99,99,2,,,,2,2,3,1,1,,,3,3,1,,1,1,1,1,2,2,1,2,2,2,2,2,6,3,1,Cochabamba,17,"1,16742277433498","1,79608708645441",2
1034,1,32,1,1,,,,,,,,,,,,,1,250,2,,,,,9,,,,,,,1,,2,9,1,,,,,1,2,99,3,2,,,,3,,,,,,,,,,,1,7,,810,1,2,3,4,5,6,7,,1,3,30,2,1,,1,30,55,1,3,1,2,6,9,10,,,,,,7,,,,,,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,,,,,,,,,9,12,15,20,23,,,,,,,,,,,,,,,,,,,,1,2,6,,,,,,,1,7,9,,,,,,,NO VISITA,,,NO VISITA,,,2,1,9,1,2,1,,3,4,2,,2,,2,,2,,2,,2,,4,7,11,,,Ninguno,2,,,,,,,2,2,,1,5,,,,,,1,4,,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,5,,,,,,,2,1,7,,,7,9,13,18,,,,,,,,,,,,,,,6,10,12,13,18,20,22,23,,,,,,,,,,2,,,,,1,2,5,,,2,1,2,2,,2,1,,4,1,,,,1,2,,,,,,,,,,,2,,,,,,,,1,3,2,2,3,3,3,2,,2,,,,,2,4,6,7,4,6,2,4,6,9,,,1,2,7,2,4,6,3,7,7,7,1,2,2,2,2,,13,13,2,,,,2,2,3,1,1,,,3,3,1,,2,1,1,1,2,2,2,2,2,1,2,2,3,3,1,Cochabamba,17,"1,16742277433498","1,79608708645441",1
1035,1,20,1,1,,,,,,,,,,,,,1,99,2,,,,,9,,,,,,,1,3,,900,4,,,,,2,2,,,1,,1,99,3,,,,,,,,,,,1,3,,400,1,2,3,7,6,,,,1,3,40,3,1,,1,30,55,1,4,1,5,10,,,,,,,,7,,,,,,7,5,6,7,8,16,22,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,1,7,,,,,,,,Ns/Nr,,,Ns/Nr,,,2,2,2,2,2,9,,2,2,2,,2,,2,,2,,2,,2,,1,3,9,,,Ns/Nr,2,,,,,,,3,2,,2,5,,,,,,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,1,4,5,,,7,9,10,11,18,19,20,21,,,,,,,,,,,14,15,16,17,18,20,21,22,,,,,,,,,,2,,,,,1,2,7,,,2,2,2,2,,2,1,2,,1,,,,2,2,,,,,,,,,,,2,,,,,,,,1,3,4,3,3,4,4,2,,2,,,,,2,1,5,1,2,5,4,6,3,6,5,2,9,,,2,3,4,2,4,5,1,2,2,2,2,2,,99,99,2,,,,2,2,3,1,1,,,6,3,1,,2,1,1,1,2,2,2,2,2,1,2,2,4,3,1,Cochabamba,17,"1,16742277433498","1,79608708645441",1
1036,1,40,1,1,,,,,,,,,,,,,1,373,1,,1,3,3000,8,4,,,,,,1,99,,9,2,4,,,,1,2,373,3,1,,1,100,1,373,5,5,2,,,,,,,1,99,,99,1,6,,,,,,,1,1,100,4,1,,1,50,100,2,4,10,11,,,,,,,,,1,,,,,,7,8,9,10,11,12,17,18,19,20,21,,,,,,,,,,,,,,,7,8,9,10,11,18,19,20,21,22,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,NO VISITA,,,NO VISITA,,,1,9,9,9,9,4,,3,3,2,,2,,2,,2,,2,,2,,2,9,5,1,,RENOVACION,2,,,,,,,2,2,,2,1,2,3,,,,1,3,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,1,,,,,7,9,10,11,12,13,14,18,19,20,21,,,,,,,,8,9,10,11,12,19,20,21,22,,,,,,,,,2,,,,,2,1,3,,,2,2,2,1,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,1,3,9,9,9,9,9,1,1,2,,,,,1,2,3,1,6,5,1,2,4,3,5,6,2,1,5,1,4,2,5,4,5,6,2,2,2,2,2,,99,99,2,,,,2,1,3,2,1,,,4,7,1,,1,1,1,1,1,2,2,2,1,2,2,2,5,3,1,Cochabamba,17,"1,16742277433498","1,79608708645441",3
1037,1,15,1,1,,,,,,,,,,,,,1,99,1,99,,9,99,8,4,,,,,,1,,1,9,1,3,4,,,1,2,99,3,1,99,,99,2,,,,,,,,,,,1,,3,99,1,3,6,7,,,,,1,3,30,3,1,,1,30,55,1,3,1,,,,,,,,,,2,,,,,,5,8,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,1,7,10,,,,,,,1,9,,,,,,,,NO VISITA,,,NO VISITA,,,2,2,2,2,2,9,,2,3,2,,2,,2,,2,,2,,2,,1,11,9,,,Ns/Nr,2,,,,,,,1,2,,2,1,,,,,,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,1,5,7,,,5,8,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,2,,,,,1,2,3,,,2,2,2,3,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,4,3,4,5,5,2,,2,,,,,2,1,5,5,1,6,1,2,5,5,1,6,1,3,2,1,9,9,9,9,9,9,2,2,2,2,2,,99,99,2,,,,2,2,2,1,1,,,6,3,1,,1,1,1,1,2,2,2,2,2,1,2,2,5,3,1,Cochabamba,17,"1,16742277433498","1,79608708645441",2
1038,1,21,1,1,,,,,,,,,,,,,1,50,1,99,,9,99,7,1,,,,,,1,99,,9,1,,,,,2,2,,,1,99,,99,1,150,3,3,1,2,7,9,,,,1,99,,99,1,6,,,,,,,1,3,50,4,1,,1,30,55,1,4,1,6,7,10,,,,,,,3,5,8,,,,7,12,13,14,15,16,17,18,19,20,,,,,,,,,,,,,,,,13,14,15,16,17,18,19,20,,,,,,,,,,,,,,,,,1,10,,,,,,,,1,7,,,,,,,,Ninguna,,,FACEBOOK,GOOGLE,,2,2,9,9,9,4,,3,3,2,,2,,2,,2,,2,,2,,4,5,6,7,,TITULACION,2,,,,,,,1,2,,2,2,,,,,,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,1,7,2,,,7,12,13,14,15,16,17,18,19,20,,,,,,,,,11,12,13,14,15,16,17,18,19,20,,,,,,,,2,,,,,1,2,3,,,2,2,2,2,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,1,4,3,4,6,3,3,1,98,2,,,,,1,6,5,1,4,6,1,6,5,1,6,5,1,2,3,1,9,9,9,9,9,9,1,9,1,1,2,,12,12,2,,,,2,1,2,1,1,,,6,3,1,,1,1,1,2,1,2,2,2,2,1,2,2,5,3,1,Cochabamba,17,"1,16742277433498","1,79608708645441",3
1039,1,70,1,2,,,,,,,,,,,,,1,400,1,1,,2,3500,2,1,4,,,,,1,,5,9,1,2,,,,1,2,400,3,1,2,,100,1,400,6,3,1,2,5,,,,,1,,4,99,1,6,,,,,,,1,1,50,4,1,,1,30,55,1,4,11,,,,,,,,,,1,,,,,,3,20,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,1,,,,,,,,,NO VISITA,,,NO VISITA,,,2,2,2,2,2,4,,3,3,2,,2,,2,,2,,2,,2,,2,8,5,7,,SEGIP,2,,,,,,,3,2,,2,6,,,,,,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,10,,,,,,,,4,,,,,4,12,13,14,15,16,17,18,19,20,,,,,,,,,20,,,,,,,,,,,,,,,,,2,,,,,1,2,3,,,2,2,2,2,,9,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,1,3,4,3,6,6,6,2,,2,,,,,1,2,3,1,2,3,1,4,5,9,,,9,,,1,9,9,9,9,9,9,2,2,2,2,2,,99,99,2,,,,2,1,3,2,1,,,8,5,4,,2,1,1,1,1,1,1,2,1,3,2,2,5,3,1,Cochabamba,17,"1,16742277433498","1,79608708645441",4
1040,1,34,1,1,,,,,,,,,,,,,1,180,1,,1,1,5000,3,1,,,,,,1,,1,9,1,2,,,,1,2,200,4,1,99,,99,1,180,2,4,5,,,,,,,1,1,,3500,1,6,7,,,,,,1,2,100,3,1,,1,100,55,1,4,1,6,10,,,,,,,,1,5,,,,,4,20,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,1,10,,,,,,,,NO VISITA,,,NO VISITA,,,9,9,9,9,9,4,,3,3,2,,2,,2,,2,,2,,2,,7,,,,,CARNETIZACION,2,,,,,,,3,2,,2,2,,,,,,1,3,,2,2,1,,,,,1,,,,,7,,,,3,,,,2,,,,150,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,4,,,,,1,3,,,,,,,,,1,8,,,,3,20,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,2,,,,,1,4,3,,,2,1,1,2,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,1,3,4,3,9,5,3,1,3,2,,,,,1,2,3,1,5,6,1,4,5,1,5,6,1,2,3,1,9,9,9,9,9,9,1,1,2,2,2,,25,25,2,,,,2,1,7,2,1,,,4,3,1,,7,1,1,1,1,1,2,2,2,1,2,2,3,3,1,Cochabamba,17,"1,16742277433498","1,79608708645441",4
1041,1,27,1,1,,,,,,,,,,,,,2,,2,,,,,9,,,,,,,1,99,,9,1,,,,,2,2,,,1,,4,99,3,,,,,,,,,,,1,,1,1400,1,2,3,4,6,7,,,1,1,30,4,1,,1,60,55,1,5,1,2,10,,,,,,,,3,,,,,,7,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,,,,,,,,,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,,,,,,,,,2,7,,,,,,,,10,,,,,,,,,,,,youtube,,,1,2,2,2,2,4,,2,9,2,,2,,2,,2,,1,2,1,2,3,,,,,aprobaciones,2,,,,,,,2,2,,1,5,,,,,,1,2,,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,6,,,,,,,11,,,,,6,19,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,2,,,,,8,,,,,3,2,2,4,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,1,3,5,3,5,5,9,1,90,2,,,,,1,2,5,1,6,7,9,,,1,3,6,9,,,5,9,9,9,9,9,9,2,2,2,2,2,,15,15,1,3,,,1,2,7,1,1,,,1,7,1,,1,1,1,1,2,2,1,2,2,1,2,2,3,3,3,Villomilla,91,"1,31947700990873","1,44209256416031",2
1042,1,19,1,1,,,,,,,,,,,,,2,,1,,1,2,4100,8,5,,,,,,1,99,,9,1,2,4,,,2,2,,,1,99,,99,3,,,,,,,,,,,1,1,,100,1,3,6,,,,,,1,1,100,3,1,,1,50,55,1,4,1,2,10,,,,,,,,5,,,,,,7,20,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,1,2,10,,,,,,,7,9,,,,,,,,BAILANDO POR UN SUE!,OPINION,LOS TIEMPOS,MIL TORNER,FACEBOOK,WHATSAP,2,2,2,2,2,4,,3,2,2,,2,,2,,2,,2,,1,1,5,2,,,,TRAMITES EN GENERAL,2,,,,,,,2,2,,2,2,6,,,,,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,1,4,7,5,,7,20,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,2,,,,,2,1,3,,,4,1,2,3,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,1,3,2,2,2,3,4,2,,2,,,,,1,6,3,1,6,2,6,1,5,1,6,7,1,2,6,6,9,1,1,2,9,6,1,2,1,2,2,,15,15,2,,,,2,2,6,1,1,,,6,3,1,,3,1,1,1,2,2,1,2,1,3,1,2,3,3,3,Villomilla,91,"1,31947700990873","1,44209256416031",3
1043,1,20,1,1,,,,,,,,,,,,,2,,2,,,,,9,,,,,,,1,99,,9,1,4,,,,2,2,,,2,,,,3,,,,,,,,,,,1,99,,1200,1,6,,,,,,,1,1,40,3,1,,1,30,55,1,4,1,2,10,,,,,,,,11,,,,,,5,17,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,1,2,10,,,,,,,1,7,,,,,,,,TIEMPOS,,,WHATSAP,FACEBOOK,YOU TO BE,2,2,2,2,2,4,,2,1,2,,2,,2,,2,,2,,2,,1,5,3,8,,TRABAJO,2,,,,,,,1,2,,2,2,,,,,,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,6,,,,,,,1,5,4,7,,7,12,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,2,,,,,2,1,3,,,3,2,2,1,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,1,4,3,1,1,3,5,2,,2,,,,,1,2,6,1,2,6,6,4,1,1,6,7,1,,,6,4,1,1,7,9,9,2,2,2,2,2,,14,16,2,,,,2,2,3,2,1,,,9,3,3,,2,1,1,1,2,2,1,2,1,2,2,2,3,3,3,Villomilla,91,"1,31947700990873","1,44209256416031",2
1044,1,25,1,1,,,,,,,,,,,,,2,,2,,,,,9,,,,,,,1,,3,1100,1,4,,,,2,2,,,1,,5,200,3,,,,,,,,,,,1,,2,550,1,2,3,6,7,,,,1,3,55,4,1,,1,160,900,3,3,1,10,11,,,,,,,,11,,,,,,7,20,21,22,,,,,,,,,,,,,,,,,,,,,,20,21,,,,,,,,,,,,,,,,,,,,,,,1,2,9,10,,,,,,1,,,,,,,,,UNITEL,RED UNO,,GOOGLE,YOUTUBE,,2,2,2,2,2,9,,3,3,2,,2,,2,,2,,2,,2,,4,1,7,,,NINGUNO,2,,,,,,,3,2,,1,,,,,,,1,4,,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,6,,,,,,,1,2,7,4,,7,19,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,2,,,,,1,2,3,,,3,2,2,4,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,1,3,5,3,2,4,6,2,,2,,,,,1,5,6,1,5,6,9,,,1,6,7,7,,,5,5,5,5,5,5,5,2,1,2,2,2,,18,18,2,,,,2,2,1,1,1,,,3,1,1,,2,1,1,1,2,2,1,2,1,1,2,2,1,3,3,Villomilla,91,"1,31947700990873","1,44209256416031",1
