NUMBOL,Tipo,P1,P2,P3,P1A,P1B,P1C,P1D,P1E,P2A,P2B,P2C,P2D,P2E,P3A,P4A,P4,P5,P6,P7A,P7B,P8,P9,P10,P11A,P11B,P11C,P11F,P11G,P11D,P12,P13A,P13B,P14,P15A,P15B,P15C,P15E,P15D,P16,P17,P18,P19,P20,P21A,P21B,P22,P23,P24,P25,P26,P27A,P27B,P27C,P27E,P27F,P27G,P27D,P28,P29A,P29B,P30,P31A,P31B,P31C,P31D,P31E,P31G,P31H,P31F,P32,P33,P34,P35,P36A,P36B,P37,P38,P39A,P39B,P40,P41A,P41B,P41C,P41D,P41E,P41G,P41H,P41I,P41J,P41F,P42A,P42B,P42C,P42E,P42F,P42D,P43,P44A,P44B,P44C,P44D,P44E,P44F,P44G,P44J,P44H,P44I,P44K,P44L,P44M,P44N,P44O,P44P,P44Q,P44R,P44S,P44T,P44U,P44V,P44W,P44X,P45A,P45B,P45C,P45D,P45E,P45F,P45G,P45H,P45I,P45J,P45K,P45L,P45M,P45N,P45O,P45P,P45Q,P45R,P45S,P45T,P45U,P45V,P45W,P45X,P46A,P46B,P46C,P46E,P46F,P46G,P46H,P46I,P46D,P47A,P47B,P47C,P47D,P47E,P47G,P47H,P47I,P47F,P48A,P48B,P48C,P49A,P49B,P49C,P50,P51,P52,P53,P54,P55A,P55B,P56,P57,P58A,P58B,P59A,P59B,P60A,P60B,P61A,P60C,P62A,P62B,P63A,P63B,P64A,P64B,P64C,P64D,P64E,P65,P66,P67A1,P67A2,P67B1,P67B2,P67C1,P67C2,P68,P69,P70,P71,P72A,P72B,P72C,P72E,P72F,P72D,P73,P74A,P74B,P75,P76,P77,P78A,P78B,P78C,P78D,P79,P80A,P80B,P80C,P80D,P81A,P81B,P81C,P81D,P82A,P82B,P82C,P82D,P83A,P83B,P83C,P83D,P84,P85A,P85B,P85C,P85D,P86A,P87,P88A,P88B,P88C,P88D,P89A,P89B,P89C,P89D,P90A,P90B,P90C,P90D,P91A,P91B,P91C,P91D,P92,P93A,P93B,P93C,P93D,P94,P95,P96,P97,P98A,P98B,P98C,P98E,P98D,P99,P100A,P100B,P100C,P100D,P100E,P100G,P100H,P100I,P100F,P101A,P101B,P101C,P101D,P101E,P102,P103A,P103B,P103C,P103D,P103E,P103F,P103G,P103H,P103I,P103J,P103K,P103L,P103M,P103N,P103O,P103P,P103Q,P104A,P104B,P104C,P104D,P104E,P104F,P104G,P104H,P104I,P104J,P104K,P104L,P104M,P104N,P104O,P104P,P104Q,P105,P106A,P106B,P106C,P106D,P107A,P107B,P107C,P107D,P107E,P108,P109,P110,P111,P11E,P112,P113,P114A,P114B,P115A,P115B,P115C,P115D,P116,P117,P118A,P118B,P118C,P118D,P118E,P118G,P118H,P118I,P118F,P119,P120,P121A,P121B,P121C,P121E,P121F,P121G,P121D,P122,P123,P124A,P124B,P124C,P124D,P124E,P125,P126,P127,P128A,P128B,P128C,P128D,P129A,P129B,P129C,P130A,P130B,P130C,P131A,P131B,P131C,P132A,P132B,P132C,P133A,P133B,P133C,P134,P135,P136,P137,P138,P139,P140,P140A,P140B,P140C,P140D,P141,P142,P143,P144,P145,P146A,P146B,P146C,P147,P148,P149,P150,P151,P151A,P151B,P152,P153,P154A,P154B,P155,P156A,P156B,P156C,P156D,P156E,P156F,P156G,P156H,P156I,P156J,P156K,P157,P158,P159,P160,CodP160,Ponderador5536,Ponderador5033,Nse
100,2,57,2,,5,,,,,9,,,,,,3,2,,2,,,,,9,,,,,,,2,,,,1,,,,,2,2,,,1,0,1,100,3,,,,,,,,,,,1,0,1,1820,1,,,,,,,,1,1,10,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,2,1,,2,1,,2,1,,9,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,2,2,4,2,,,2,2,1,,1,1,2,1,2,2,2,2,2,1,2,2,5,1,3,Machac Huyo,38,"7,26183496712818",,1
101,2,71,2,,5,,,,,9,,,,,,4,2,,2,,,,,9,,,,,,,2,,,,1,,,,,2,2,,,2,,,,3,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,2,1,,2,1,,2,1,,9,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,2,1,4,2,,,2,1,2,,1,1,2,1,2,2,2,2,2,1,2,2,4,1,3,Machac Huyo,38,"7,26183496712818",,1
102,2,52,2,,1,,,,,1,,,,,1,2,2,,1,0,0,9,99,5,1,,,,,,1,,3,2000,1,2,,,,2,2,,,1,0,0,99,3,,,,,,,,,,,1,0,2,800,1,2,,,,,,,1,2,100,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,2,,1,2,,1,,,9,,,1,9,9,1,1,1,9,,,,,,,,,,,,,,1,4,2,2,,,2,3,1,,2,2,2,1,2,2,2,2,1,1,2,2,6,1,3,Machac Huyo,38,"7,26183496712818",,2
301,2,71,2,,4,6,,,,9,,,,,,4,2,,2,,,,,9,,,,,,,1,,1,9,1,4,,,,2,2,,,1,0,5,99,3,,,,,,,,,,,1,0,3,200,1,2,,,,,,,1,2,100,4,4,java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,1,1,1,1,1,1,,,,,,,,,,,,,,2,6,2,1,,,7,3,2,,2,1,1,1,2,2,2,2,2,1,2,2,5,4,1,Santa Cruz,70,"6,24665921310855",,1
302,2,80,2,,4,6,,,,9,,,,,,4,2,,2,,,,,9,,,,,,,1,99,,9,1,4,,,,2,2,,,1,99,99,99,3,,,,,,,,,,,1,0,5,200,1,2,,,,,,,1,2,50,4,4,java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,2,3,1,2,3,1,2,3,9,3,2,1,1,3,3,2,1,1,,,,,,,,,,,,,,2,3,2,3,,,8,5,4,,2,1,1,2,2,2,2,2,1,1,2,2,4,4,1,Santa Cruz,70,"6,24665921310855",,1
303,2,71,2,,4,5,,,,9,,,,,,4,2,,2,,,,,9,,,,,,,1,,3,9,6,,,,,2,2,,,1,0,1,2500,3,,,,,,,,,,,1,0,2,99,1,2,,,,,,,1,1,100,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,7,2,3,7,3,7,2,2,3,7,9,,,2,2,2,3,3,2,3,,,,,,,,,,,,,,1,3,4,3,,,8,3,2,,3,1,1,1,2,2,2,2,1,2,1,1,2,4,1,Santa Cruz,70,"6,24665921310855",,3
304,2,69,2,,4,,,,,9,,,,,,4,2,,2,,,,,9,,,,,,,1,,9,1800,1,2,4,,,2,2,,,2,,,,3,,,,,,,,,,,1,0,5,100,1,2,,,,,,,1,2,100,4,4,java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,3,3,3,2,1,1,,,,,,,,,,,,,,1,5,2,1,,,8,4,3,,3,1,1,1,2,2,2,2,1,1,2,2,5,4,1,Santa Cruz,70,"6,24665921310855",,2
305,2,69,2,,3,5,,,,9,,,,,,2,2,,2,,,,,9,,,,,,,1,,10,9,1,4,,,,1,2,150,4,1,99,99,99,3,,,,,,,,,,,1,0,5,300,1,2,,,,,,,1,3,200,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,2,3,1,2,7,1,7,3,3,4,1,1,3,3,3,3,1,1,,,,,,,,,,,,,,2,3,2,1,,,7,4,1,,2,1,1,1,2,2,2,2,1,1,2,2,6,4,1,Santa Cruz,70,"6,24665921310855",,1
306,2,70,2,,2,4,5,,,9,,,,,,4,2,,2,,,,,9,,,,,,,1,,3,9,1,4,,,,2,1,135,5,1,0,3,99,3,,,,,,,,,,,1,0,3,99,1,2,,,,,,,1,2,50,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,2,3,3,2,1,3,2,1,9,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,3,4,1,,,8,3,4,,3,1,1,1,2,2,2,2,1,1,2,2,3,4,1,Santa Cruz,70,"6,24665921310855",,2
307,2,79,2,,4,6,,,,9,,,,,,3,2,,2,,,,,9,,,,,,,1,99,,9,1,2,4,,,2,2,,,1,99,99,99,3,,,,,,,,,,,1,0,3,250,1,,,,,,,,1,2,100,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,2,3,1,3,1,2,3,1,2,3,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,2,3,4,1,,,8,7,4,,2,1,1,1,2,2,1,2,1,1,2,2,3,4,1,Santa Cruz,70,"6,24665921310855",,2
308,2,64,2,,2,6,,,,5,,,,,8,3,2,,2,,,,,9,,,,,,,1,,3,1500,1,4,,,,2,2,,,1,0,1,99,3,,,,,,,,,,,1,0,5,300,1,2,,,,,,,1,2,100,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,1,3,7,1,3,7,1,3,2,1,2,3,1,1,3,1,1,1,1,,,,,,,,,,,,,,1,6,2,1,,,8,6,3,,2,1,1,1,1,1,1,2,1,2,1,2,5,4,1,Santa Cruz,70,"6,24665921310855",,3
309,2,64,2,,2,5,7,,,1,4,,,,2,3,2,,2,,,,,9,,,,,,,1,8,0,2600,1,2,4,,,2,1,185,4,1,0,3,99,3,,,,,,,,,,,1,0,2,1800,1,3,2,,,,,,1,1,100,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,3,1,7,1,3,2,1,2,3,1,3,7,1,3,1,1,3,1,2,,,,,,,,,,,,,,1,4,1,1,,,8,4,4,,2,1,1,1,1,1,1,1,1,3,2,2,3,4,1,Santa Cruz,70,"6,24665921310855",,3
310,2,39,2,,4,5,,,,9,,,,,,3,2,,1,99,99,1,3000,9,,,,,,,1,,1,3500,1,4,,,,2,1,200,5,1,0,2,99,3,,,,,,,,,,,1,0,2,1500,1,2,3,4,,,,,1,1,100,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,2,3,1,1,2,7,1,2,7,3,1,2,1,3,2,1,2,1,1,,,,,,,,,,,,,,1,3,2,1,,,1,4,1,,4,1,1,1,1,2,2,2,1,1,2,2,4,4,2,Roboré,60,"5,75301703806887",,3
311,2,41,2,,2,5,7,,,9,,,,,,3,2,,2,,,,,9,,,,,,,1,11,0,3500,4,,,,,2,1,180,5,1,0,1,2500,3,,,,,,,,,,,1,0,1,2500,2,3,6,7,,,,,1,1,100,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,3,2,1,3,2,1,1,2,3,1,3,2,3,2,1,1,2,1,1,,,,,,,,,,,,,,2,3,2,1,,,3,4,1,,4,1,1,1,2,2,2,2,1,2,2,2,4,4,2,Roboré,60,"5,75301703806887",,2
312,2,49,2,,2,5,,,,9,,,,,,3,2,,2,,,,,9,,,,,,,1,,1,3000,1,2,4,,,2,1,180,5,1,0,1,2700,3,,,,,,,,,,,1,0,1,1700,1,2,3,4,7,,,,1,1,150,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,3,2,1,3,2,1,2,3,2,3,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,3,2,1,,,4,1,1,,4,1,1,1,2,2,2,2,1,1,2,2,4,4,2,Puerto Quijarro,54,"5,75301703806887",,1
313,2,52,2,,2,3,5,,,5,,,,,3,3,2,,2,,,,,9,,,,,,,1,,1,2700,1,4,,,,2,1,200,5,1,0,1,3700,3,,,,,,,,,,,1,0,2,1000,1,2,4,3,7,,,,1,1,150,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,3,1,2,1,2,3,3,1,2,3,1,2,1,1,2,2,1,2,2,,,,,,,,,,,,,,2,3,2,3,,,3,4,1,,3,1,1,1,2,2,2,2,1,1,2,2,4,4,2,Puerto Quijarro,54,"5,75301703806887",,2
314,2,64,2,,2,5,,,,5,,,,,5,2,2,,2,,,,,9,,,,,,,1,10,0,1500,1,4,,,,2,1,210,5,1,0,1,3000,3,,,,,,,,,,,1,0,2,1700,1,2,3,7,,,,,1,2,100,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,3,1,1,2,7,1,2,7,2,3,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,2,2,4,3,,,3,2,1,,2,1,1,1,1,2,2,2,1,1,2,2,4,4,2,Puerto Quijarro,54,"5,75301703806887",,2
315,2,44,2,,3,,,,,1,2,5,,,3,1,2,,2,,,,,9,,,,,,,1,,6,1500,1,2,3,,,2,2,,,1,0,3,150,3,,,,,,,,,,,1,0,4,590,1,2,3,,,,,,1,1,50,4,4,java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,7,1,3,2,3,2,,1,2,,1,2,,5,5,5,1,2,5,5,,,,,,,,,,,,,,2,2,2,1,,,7,1,1,,2,1,1,1,2,2,2,2,1,1,2,2,2,4,2,Warnes,95,"5,75301703806887",,1
316,2,24,2,,5,,,,,5,,,,,5,3,2,,2,,,,,9,,,,,,,1,,3,1600,1,2,4,,,1,2,200,5,1,0,2,700,3,,,,,,,,,,,1,0,1,1400,1,3,6,,,,,,1,2,100,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,1,3,7,1,3,7,3,1,7,3,2,7,1,3,3,3,9,1,1,,,,,,,,,,,,,,2,4,2,1,,,1,4,1,,4,1,1,1,2,2,2,2,1,2,2,2,2,4,2,San Ignacio,64,"5,75301703806887",,2
317,2,37,2,,4,7,,,,9,,,,,,3,2,,2,,,,,9,,,,,,,1,10,0,1500,1,2,4,,,2,2,,,1,0,2,99,3,,,,,,,,,,,1,0,1,1700,1,2,3,4,7,,,,1,2,100,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,1,1,1,1,1,1,,,,,,,,,,,,,,2,4,2,1,,,1,4,1,,3,1,1,1,1,1,1,2,2,1,2,2,3,4,2,San Ignacio,64,"5,75301703806887",,3
319,2,67,2,,2,3,5,,,5,,,,,5,2,2,,2,,,,,9,,,,,,,1,,1,9,1,4,,,,2,2,,,1,0,2,99,3,,,,,,,,,,,1,0,1,99,1,2,7,,,,,,1,2,150,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,3,2,1,3,2,1,2,3,1,3,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,2,2,3,1,,,8,2,4,,3,1,2,1,2,2,1,2,1,1,2,2,5,4,2,Valle Grande,87,"5,75301703806887",,2
320,2,34,2,,6,,,,,9,,,,,,2,2,,2,,,,,9,,,,,,,1,,3,9,1,3,4,,,2,2,,,2,,,,3,,,,,,,,,,,1,0,7,99,1,7,,,,,,,1,1,200,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,1,3,,1,3,,1,3,,1,3,,1,1,1,1,1,1,1,,,,,,,,,,,,,,2,2,2,1,,,7,4,1,,3,1,1,1,1,2,2,2,1,1,1,2,6,4,2,Cotoca,21,"5,75301703806887",,3
